"","nuc_id","nuc","nuc_group","transition_id","calcurve","level","repl_calcurve","date","median_intensity","cv","n_tb_val","mean_tb_val","sd_tb_val"
"114","nuc08","AMP","ng_04","t12","TrueBlank",NA,2,20181218,5,"509.3%",5,66.4,144.014929781603
"115","nuc08","AMP","ng_04","t12","TrueBlank",NA,3,20181218,2,"1239.2%",5,66.4,144.014929781603
"116","nuc08","AMP","ng_04","t2","TrueBlank",NA,1,20181217,0,"Inf%",5,54.6,119.85950108356
"117","nuc08","AMP","ng_04","t2","TrueBlank",NA,3,20181217,1,"1426.5%",5,54.6,119.85950108356
"118","nuc08","AMP","ng_04","t2","TrueBlank",NA,1,20181218,269,"33.3%",5,54.6,119.85950108356
"119","nuc08","AMP","ng_04","t2","TrueBlank",NA,2,20181218,3,"750.3%",5,54.6,119.85950108356
"120","nuc08","AMP","ng_04","t2","TrueBlank",NA,3,20181218,0,"Inf%",5,54.6,119.85950108356
"121","nuc09","dGMP","ng_05","t1","TrueBlank",NA,1,20181217,89,"50.2%",5,198.6,264.691896362545
"122","nuc09","dGMP","ng_05","t1","TrueBlank",NA,3,20181217,80,"65.5%",5,198.6,264.691896362545
"123","nuc09","dGMP","ng_05","t1","TrueBlank",NA,1,20181218,672,"19.7%",5,198.6,264.691896362545
"124","nuc09","dGMP","ng_05","t1","TrueBlank",NA,2,20181218,76,"67.8%",5,198.6,264.691896362545
"125","nuc09","dGMP","ng_05","t1","TrueBlank",NA,3,20181218,76,"57%",5,198.6,264.691896362545
"126","nuc09","dGMP","ng_05","t12","TrueBlank",NA,1,20181217,89,"50.1%",5,204.2,264.355253399663
"127","nuc09","dGMP","ng_05","t12","TrueBlank",NA,3,20181217,80,"66.1%",5,204.2,264.355253399663
"128","nuc09","dGMP","ng_05","t12","TrueBlank",NA,1,20181218,677,"20.2%",5,204.2,264.355253399663
"129","nuc09","dGMP","ng_05","t12","TrueBlank",NA,2,20181218,82,"66.7%",5,204.2,264.355253399663
"130","nuc09","dGMP","ng_05","t12","TrueBlank",NA,3,20181218,93,"51.8%",5,204.2,264.355253399663
"131","nuc09","dGMP","ng_05","t2","TrueBlank",NA,1,20181217,0,"Inf%",5,4,8.94427190999916
"132","nuc09","dGMP","ng_05","t2","TrueBlank",NA,3,20181217,0,"Inf%",5,4,8.94427190999916
"133","nuc09","dGMP","ng_05","t2","TrueBlank",NA,1,20181218,20,"159.8%",5,4,8.94427190999916
"134","nuc09","dGMP","ng_05","t2","TrueBlank",NA,2,20181218,0,"Inf%",5,4,8.94427190999916
"135","nuc09","dGMP","ng_05","t2","TrueBlank",NA,3,20181218,0,"Inf%",5,4,8.94427190999916
"136","nuc10","IMP","ng_06","t1","TrueBlank",NA,1,20181217,11,"267.6%",5,75.8,127.1385071487
"137","nuc10","IMP","ng_06","t1","TrueBlank",NA,3,20181217,2,"1703.9%",5,75.8,127.1385071487
"138","nuc10","IMP","ng_06","t1","TrueBlank",NA,1,20181218,302,"38.7%",5,75.8,127.1385071487
"139","nuc10","IMP","ng_06","t1","TrueBlank",NA,2,20181218,30,"184.8%",5,75.8,127.1385071487
"140","nuc10","IMP","ng_06","t1","TrueBlank",NA,3,20181218,34,"89.4%",5,75.8,127.1385071487
"141","nuc10","IMP","ng_06","t12","TrueBlank",NA,1,20181217,32,"110%",5,111.4,148.673467706918
"142","nuc10","IMP","ng_06","t12","TrueBlank",NA,3,20181217,30,"162.5%",5,111.4,148.673467706918
"143","nuc10","IMP","ng_06","t12","TrueBlank",NA,1,20181218,376,"32.5%",5,111.4,148.673467706918
"144","nuc10","IMP","ng_06","t12","TrueBlank",NA,2,20181218,53,"124.2%",5,111.4,148.673467706918
"145","nuc10","IMP","ng_06","t12","TrueBlank",NA,3,20181218,66,"81.9%",5,111.4,148.673467706918
"146","nuc10","IMP","ng_06","t2","TrueBlank",NA,1,20181217,8,"265.8%",5,28.4,29.7875813049667
"147","nuc10","IMP","ng_06","t2","TrueBlank",NA,3,20181217,9,"358.4%",5,28.4,29.7875813049667
"148","nuc10","IMP","ng_06","t2","TrueBlank",NA,1,20181218,80,"55.5%",5,28.4,29.7875813049667
"149","nuc10","IMP","ng_06","t2","TrueBlank",NA,2,20181218,19,"152.2%",5,28.4,29.7875813049667
"150","nuc10","IMP","ng_06","t2","TrueBlank",NA,3,20181218,26,"134.3%",5,28.4,29.7875813049667
"151","nuc11","GMP","ng_05","t1","TrueBlank",NA,1,20181217,0,"Inf%",5,3,6.70820393249937
"152","nuc11","GMP","ng_05","t1","TrueBlank",NA,3,20181217,0,"Inf%",5,3,6.70820393249937
"153","nuc11","GMP","ng_05","t1","TrueBlank",NA,1,20181218,15,"150%",5,3,6.70820393249937
"154","nuc11","GMP","ng_05","t1","TrueBlank",NA,2,20181218,0,"Inf%",5,3,6.70820393249937
"155","nuc11","GMP","ng_05","t1","TrueBlank",NA,3,20181218,0,"Inf%",5,3,6.70820393249937
"156","nuc11","GMP","ng_05","t12","TrueBlank",NA,1,20181217,0,"Inf%",5,7.8,17.4413302244984
"157","nuc11","GMP","ng_05","t12","TrueBlank",NA,3,20181217,0,"Inf%",5,7.8,17.4413302244984
"158","nuc11","GMP","ng_05","t12","TrueBlank",NA,1,20181218,39,"89.8%",5,7.8,17.4413302244984
"159","nuc11","GMP","ng_05","t12","TrueBlank",NA,2,20181218,0,"Inf%",5,7.8,17.4413302244984
"160","nuc11","GMP","ng_05","t12","TrueBlank",NA,3,20181218,0,"Inf%",5,7.8,17.4413302244984
"161","nuc11","GMP","ng_05","t2","TrueBlank",NA,1,20181217,0,"Inf%",5,3.8,8.4970583144992
"162","nuc11","GMP","ng_05","t2","TrueBlank",NA,3,20181217,0,"Inf%",5,3.8,8.4970583144992
"163","nuc11","GMP","ng_05","t2","TrueBlank",NA,1,20181218,19,"144.4%",5,3.8,8.4970583144992
"164","nuc11","GMP","ng_05","t2","TrueBlank",NA,2,20181218,0,"Inf%",5,3.8,8.4970583144992
"165","nuc11","GMP","ng_05","t2","TrueBlank",NA,3,20181218,0,"Inf%",5,3.8,8.4970583144992
"166","nuc12","dCDP","ng_01","t1","TrueBlank",NA,1,20181217,0,"Inf%",5,0,0
"167","nuc12","dCDP","ng_01","t1","TrueBlank",NA,3,20181217,0,"NaN%",5,0,0
"168","nuc12","dCDP","ng_01","t1","TrueBlank",NA,1,20181218,0,"Inf%",5,0,0
"169","nuc12","dCDP","ng_01","t1","TrueBlank",NA,2,20181218,0,"Inf%",5,0,0
"170","nuc12","dCDP","ng_01","t1","TrueBlank",NA,3,20181218,0,"Inf%",5,0,0
"171","nuc12","dCDP","ng_01","t12","TrueBlank",NA,1,20181217,0,"Inf%",5,1,2.23606797749979
"172","nuc12","dCDP","ng_01","t12","TrueBlank",NA,3,20181217,0,"Inf%",5,1,2.23606797749979
"173","nuc12","dCDP","ng_01","t12","TrueBlank",NA,1,20181218,5,"362%",5,1,2.23606797749979
"174","nuc12","dCDP","ng_01","t12","TrueBlank",NA,2,20181218,0,"Inf%",5,1,2.23606797749979
"175","nuc12","dCDP","ng_01","t12","TrueBlank",NA,3,20181218,0,"Inf%",5,1,2.23606797749979
"176","nuc12","dCDP","ng_01","t2","TrueBlank",NA,1,20181217,0,"Inf%",5,0,0
"177","nuc12","dCDP","ng_01","t2","TrueBlank",NA,3,20181217,0,"Inf%",5,0,0
"178","nuc12","dCDP","ng_01","t2","TrueBlank",NA,1,20181218,0,"Inf%",5,0,0
"179","nuc12","dCDP","ng_01","t2","TrueBlank",NA,2,20181218,0,"Inf%",5,0,0
"180","nuc12","dCDP","ng_01","t2","TrueBlank",NA,3,20181218,0,"Inf%",5,0,0
"181","nuc13","dUDP","ng_02","t1","TrueBlank",NA,1,20181217,0,"Inf%",5,4,8.94427190999916
"182","nuc13","dUDP","ng_02","t1","TrueBlank",NA,3,20181217,0,"Inf%",5,4,8.94427190999916
"183","nuc13","dUDP","ng_02","t1","TrueBlank",NA,1,20181218,20,"182.9%",5,4,8.94427190999916
"184","nuc13","dUDP","ng_02","t1","TrueBlank",NA,2,20181218,0,"13626.8%",5,4,8.94427190999916
"185","nuc13","dUDP","ng_02","t1","TrueBlank",NA,3,20181218,0,"Inf%",5,4,8.94427190999916
"186","nuc13","dUDP","ng_02","t12","TrueBlank",NA,1,20181217,0,"Inf%",5,13.2,20.0174923504419
"187","nuc13","dUDP","ng_02","t12","TrueBlank",NA,3,20181217,0,"Inf%",5,13.2,20.0174923504419
"188","nuc13","dUDP","ng_02","t12","TrueBlank",NA,1,20181218,48,"115%",5,13.2,20.0174923504419
"189","nuc13","dUDP","ng_02","t12","TrueBlank",NA,2,20181218,11,"250.3%",5,13.2,20.0174923504419
"190","nuc13","dUDP","ng_02","t12","TrueBlank",NA,3,20181218,7,"596.9%",5,13.2,20.0174923504419
"191","nuc13","dUDP","ng_02","t2","TrueBlank",NA,1,20181217,0,"Inf%",5,4.4,9.83869910099907
"192","nuc13","dUDP","ng_02","t2","TrueBlank",NA,3,20181217,0,"Inf%",5,4.4,9.83869910099907
"193","nuc13","dUDP","ng_02","t2","TrueBlank",NA,1,20181218,22,"158%",5,4.4,9.83869910099907
"194","nuc13","dUDP","ng_02","t2","TrueBlank",NA,2,20181218,0,"45882363.6%",5,4.4,9.83869910099907
"195","nuc13","dUDP","ng_02","t2","TrueBlank",NA,3,20181218,0,"34038194.1%",5,4.4,9.83869910099907
"196","nuc14","dTDP","ng_03","t1","TrueBlank",NA,1,20181217,0,"Inf%",5,10.4,21.6171228427837
"197","nuc14","dTDP","ng_03","t1","TrueBlank",NA,3,20181217,0,"Inf%",5,10.4,21.6171228427837
"198","nuc14","dTDP","ng_03","t1","TrueBlank",NA,1,20181218,49,"92.1%",5,10.4,21.6171228427837
"199","nuc14","dTDP","ng_03","t1","TrueBlank",NA,2,20181218,0,"Inf%",5,10.4,21.6171228427837
"200","nuc14","dTDP","ng_03","t1","TrueBlank",NA,3,20181218,3,"949.3%",5,10.4,21.6171228427837
"201","nuc14","dTDP","ng_03","t12","TrueBlank",NA,1,20181217,0,"2486533.1%",5,19,32.9089653438087
"202","nuc14","dTDP","ng_03","t12","TrueBlank",NA,3,20181217,0,"Inf%",5,19,32.9089653438087
"203","nuc14","dTDP","ng_03","t12","TrueBlank",NA,1,20181218,76,"80.5%",5,19,32.9089653438087
"204","nuc14","dTDP","ng_03","t12","TrueBlank",NA,2,20181218,0,"2002531.6%",5,19,32.9089653438087
"205","nuc14","dTDP","ng_03","t12","TrueBlank",NA,3,20181218,19,"179%",5,19,32.9089653438087
"206","nuc14","dTDP","ng_03","t2","TrueBlank",NA,1,20181217,0,"2420214.4%",5,4,8.39642781187333
"207","nuc14","dTDP","ng_03","t2","TrueBlank",NA,3,20181217,0,"Inf%",5,4,8.39642781187333
"208","nuc14","dTDP","ng_03","t2","TrueBlank",NA,1,20181218,19,"186.6%",5,4,8.39642781187333
"209","nuc14","dTDP","ng_03","t2","TrueBlank",NA,2,20181218,0,"3921111.2%",5,4,8.39642781187333
"210","nuc14","dTDP","ng_03","t2","TrueBlank",NA,3,20181218,1,"2655.7%",5,4,8.39642781187333
"211","nuc15","CDP","ng_01","t1","TrueBlank",NA,1,20181217,0,"Inf%",5,0,0
"212","nuc15","CDP","ng_01","t1","TrueBlank",NA,3,20181217,0,"Inf%",5,0,0
"213","nuc15","CDP","ng_01","t1","TrueBlank",NA,1,20181218,0,"Inf%",5,0,0
"214","nuc15","CDP","ng_01","t1","TrueBlank",NA,2,20181218,0,"Inf%",5,0,0
"215","nuc15","CDP","ng_01","t1","TrueBlank",NA,3,20181218,0,"Inf%",5,0,0
"216","nuc15","CDP","ng_01","t12","TrueBlank",NA,1,20181217,0,"Inf%",5,11.2,25.0439613479976
"217","nuc15","CDP","ng_01","t12","TrueBlank",NA,3,20181217,0,"Inf%",5,11.2,25.0439613479976
"218","nuc15","CDP","ng_01","t12","TrueBlank",NA,1,20181218,56,"83.9%",5,11.2,25.0439613479976
"219","nuc15","CDP","ng_01","t12","TrueBlank",NA,2,20181218,0,"2004169.6%",5,11.2,25.0439613479976
"220","nuc15","CDP","ng_01","t12","TrueBlank",NA,3,20181218,0,"Inf%",5,11.2,25.0439613479976
"221","nuc15","CDP","ng_01","t2","TrueBlank",NA,1,20181217,0,"Inf%",5,8.8,19.6773982019981
"222","nuc15","CDP","ng_01","t2","TrueBlank",NA,3,20181217,0,"Inf%",5,8.8,19.6773982019981
"223","nuc15","CDP","ng_01","t2","TrueBlank",NA,1,20181218,44,"92.1%",5,8.8,19.6773982019981
"224","nuc15","CDP","ng_01","t2","TrueBlank",NA,2,20181218,0,"796038.9%",5,8.8,19.6773982019981
"225","nuc15","CDP","ng_01","t2","TrueBlank",NA,3,20181218,0,"Inf%",5,8.8,19.6773982019981
"226","nuc16","UDP","ng_02","t1","TrueBlank",NA,1,20181217,0,"Inf%",5,22.4,34.9471028842163
"227","nuc16","UDP","ng_02","t1","TrueBlank",NA,3,20181217,0,"Inf%",5,22.4,34.9471028842163
"228","nuc16","UDP","ng_02","t1","TrueBlank",NA,1,20181218,83,"55.4%",5,22.4,34.9471028842163
"229","nuc16","UDP","ng_02","t1","TrueBlank",NA,2,20181218,21,"149.8%",5,22.4,34.9471028842163
"230","nuc16","UDP","ng_02","t1","TrueBlank",NA,3,20181218,8,"320.3%",5,22.4,34.9471028842163
"231","nuc16","UDP","ng_02","t12","TrueBlank",NA,1,20181217,0,"Inf%",5,40.2,61.0917343017859
"232","nuc16","UDP","ng_02","t12","TrueBlank",NA,3,20181217,0,"4076830.7%",5,40.2,61.0917343017859
"233","nuc16","UDP","ng_02","t12","TrueBlank",NA,1,20181218,146,"76.2%",5,40.2,61.0917343017859
"234","nuc16","UDP","ng_02","t12","TrueBlank",NA,2,20181218,37,"98.7%",5,40.2,61.0917343017859
"235","nuc16","UDP","ng_02","t12","TrueBlank",NA,3,20181218,18,"244%",5,40.2,61.0917343017859
"236","nuc16","UDP","ng_02","t2","TrueBlank",NA,1,20181217,0,"Inf%",5,12.6,28.1744565164974
"237","nuc16","UDP","ng_02","t2","TrueBlank",NA,3,20181217,0,"Inf%",5,12.6,28.1744565164974
