"nuc_id","nuc","nuc_group","transition_id","calcurve","level","repl_calcurve","date","median_intensity","cv"
"nuc06","cAMP","ng_06","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc06","cAMP","ng_06","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc07","dAMP","ng_04","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc07","dAMP","ng_04","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc07","dAMP","ng_04","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc08","AMP","ng_04","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc08","AMP","ng_04","t2","TrueBlank",NA,3,"20181217",1,"1426.5%"
"nuc08","AMP","ng_04","t12","TrueBlank",NA,3,"20181217",1,"1424.9%"
"nuc09","dGMP","ng_05","t1","TrueBlank",NA,3,"20181217",80,"65.5%"
"nuc09","dGMP","ng_05","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc09","dGMP","ng_05","t12","TrueBlank",NA,3,"20181217",80,"66.1%"
"nuc10","IMP","ng_06","t1","TrueBlank",NA,3,"20181217",2,"1703.9%"
"nuc10","IMP","ng_06","t2","TrueBlank",NA,3,"20181217",9,"358.4%"
"nuc10","IMP","ng_06","t12","TrueBlank",NA,3,"20181217",30,"162.5%"
"nuc11","GMP","ng_05","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc11","GMP","ng_05","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc11","GMP","ng_05","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc12","dCDP","ng_01","t1","TrueBlank",NA,3,"20181217",0,"NaN%"
"nuc12","dCDP","ng_01","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc12","dCDP","ng_01","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc13","dUDP","ng_02","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc13","dUDP","ng_02","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc13","dUDP","ng_02","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc14","dTDP","ng_03","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc14","dTDP","ng_03","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc14","dTDP","ng_03","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc15","CDP","ng_01","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc15","CDP","ng_01","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc15","CDP","ng_01","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc16","UDP","ng_02","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc16","UDP","ng_02","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc16","UDP","ng_02","t12","TrueBlank",NA,3,"20181217",0,"4076830.7%"
"nuc17","dADP","ng_04","t1","TrueBlank",NA,3,"20181217",0,"NaN%"
"nuc17","dADP","ng_04","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc17","dADP","ng_04","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc18","ADP","ng_04","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc18","ADP","ng_04","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc18","ADP","ng_04","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc19","dGDP","ng_05","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc19","dGDP","ng_05","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc19","dGDP","ng_05","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc20","GDP","ng_05","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc20","GDP","ng_05","t2","TrueBlank",NA,3,"20181217",0,"11919981.5%"
"nuc20","GDP","ng_05","t12","TrueBlank",NA,3,"20181217",0,"8289154.2%"
"nuc21","dCTP","ng_01","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc21","dCTP","ng_01","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc21","dCTP","ng_01","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc22","dTTP","ng_03","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc22","dTTP","ng_03","t2","TrueBlank",NA,3,"20181217",1,"2077.1%"
"nuc22","dTTP","ng_03","t12","TrueBlank",NA,3,"20181217",1,"2074%"
"nuc23","CTP","ng_01","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc23","CTP","ng_01","t2","TrueBlank",NA,3,"20181217",0,"8795083.8%"
"nuc23","CTP","ng_01","t12","TrueBlank",NA,3,"20181217",0,"7906103%"
"nuc24","UTP","ng_02","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc24","UTP","ng_02","t2","TrueBlank",NA,3,"20181217",114,"59.5%"
"nuc24","UTP","ng_02","t12","TrueBlank",NA,3,"20181217",114,"58.3%"
"nuc25","dATP","ng_04","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc25","dATP","ng_04","t2","TrueBlank",NA,3,"20181217",0,"783664.5%"
"nuc25","dATP","ng_04","t12","TrueBlank",NA,3,"20181217",0,"783664.4%"
"nuc26","ATP","ng_04","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc26","ATP","ng_04","t2","TrueBlank",NA,3,"20181217",0,"26777594.7%"
"nuc26","ATP","ng_04","t12","TrueBlank",NA,3,"20181217",0,"17686064%"
"nuc27","dGTP","ng_05","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc27","dGTP","ng_05","t2","TrueBlank",NA,3,"20181217",0,"481570.8%"
"nuc27","dGTP","ng_05","t12","TrueBlank",NA,3,"20181217",0,"1676673.7%"
"nuc28","GTP","ng_05","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc28","GTP","ng_05","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc28","GTP","ng_05","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc29","UDP-Glc","ng_06","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc29","UDP-Glc","ng_06","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc29","UDP-Glc","ng_06","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc30","GDP-Man","ng_06","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc30","GDP-Man","ng_06","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc30","GDP-Man","ng_06","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc31","UDP-GNAc","ng_06","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc31","UDP-GNAc","ng_06","t2","TrueBlank",NA,3,"20181217",100,"45%"
"nuc31","UDP-GNAc","ng_06","t12","TrueBlank",NA,3,"20181217",101,"43.7%"
"nuc32","NAD+","ng_07","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc32","NAD+","ng_07","t2","TrueBlank",NA,3,"20181217",0,"2781781.9%"
"nuc32","NAD+","ng_07","t12","TrueBlank",NA,3,"20181217",0,"3485826%"
"nuc33","NADH","ng_07","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
