"calcurve","nuc_nb","transition","mean","cv","nb_calcurve","date","level"
"B",30,2,21011,"5.2%",1,"20181217",5
"B",30,12,32682,"4.4%",1,"20181217",5
"B",31,1,9116,"7.5%",1,"20181217",5
"B",31,2,17050,"4.6%",1,"20181217",5
"B",31,12,26124,"4.1%",1,"20181217",5
"B",32,1,1905,"11%",1,"20181217",5
"B",32,2,18573,"5.1%",1,"20181217",5
"B",32,12,20479,"5%",1,"20181217",5
"B",33,1,15594,"6.3%",1,"20181217",5
"B",33,2,14856,"6.4%",1,"20181217",5
"B",33,12,30378,"5.3%",1,"20181217",5
"B",34,1,40623,"3.5%",1,"20181217",5
"B",34,2,448155,"2.9%",1,"20181217",5
"B",34,12,489492,"2.8%",1,"20181217",5
"B",35,1,28852,"4.5%",1,"20181217",5
"B",35,2,20530,"4.2%",1,"20181217",5
"B",35,12,49195,"3.5%",1,"20181217",5
"B",36,1,147784,"2.8%",1,"20181217",5
"B",36,2,100159,"2.9%",1,"20181217",5
"B",36,12,248440,"2.6%",1,"20181217",5
"B",1,1,3952,"43%",2,"20181217",5
"B",1,2,1938,"45.4%",2,"20181217",5
"B",1,12,6023,"42.5%",2,"20181217",5
"B",2,1,4913,"41.1%",2,"20181217",5
"B",2,2,12509,"41.3%",2,"20181217",5
"B",2,12,17584,"40.7%",2,"20181217",5
"B",3,1,192567,"40.6%",2,"20181217",5
"B",3,2,508169,"40.4%",2,"20181217",5
"B",3,12,696411,"40.7%",2,"20181217",5
"B",4,1,43587,"41.5%",2,"20181217",5
"B",4,2,9648,"42%",2,"20181217",5
"B",4,12,53727,"41.2%",2,"20181217",5
"B",5,1,16172,"40.1%",2,"20181217",5
"B",5,2,6591,"40.2%",2,"20181217",5
"B",5,12,23225,"39.2%",2,"20181217",5
"B",6,1,27542,"38.1%",2,"20181217",5
"B",6,2,291601,"38.3%",2,"20181217",5
"B",6,12,318129,"38.4%",2,"20181217",5
"B",7,1,52448,"39.3%",2,"20181217",5
"B",7,2,9093,"40.9%",2,"20181217",5
"B",7,12,61397,"39.6%",2,"20181217",5
"B",8,1,3477,"42.7%",2,"20181217",5
"B",8,2,17525,"40.4%",2,"20181217",5
"B",8,12,21126,"40.4%",2,"20181217",5
"B",9,1,88112,"40.6%",2,"20181217",5
"B",9,2,11519,"40.9%",2,"20181217",5
"B",9,12,99886,"40.5%",2,"20181217",5
"B",10,1,4602,"39.6%",2,"20181217",5
"B",10,2,3224,"40.8%",2,"20181217",5
"B",10,12,8000,"38.8%",2,"20181217",5
"B",11,1,3473,"43.2%",2,"20181217",5
"B",11,2,3225,"43.1%",2,"20181217",5
"B",11,12,6695,"42.7%",2,"20181217",5
"B",12,1,79243,"40.7%",2,"20181217",5
"B",12,2,13164,"39.4%",2,"20181217",5
"B",12,12,92765,"40.3%",2,"20181217",5
"B",13,1,65458,"35%",2,"20181217",5
"B",13,2,20756,"35.8%",2,"20181217",5
"B",13,12,86398,"35.1%",2,"20181217",5
"B",14,1,1453000,"39.4%",2,"20181217",5
"B",14,2,648221,"39.7%",2,"20181217",5
"B",14,12,2099705,"39.5%",2,"20181217",5
"B",15,1,234397,"39.2%",2,"20181217",5
